ExoVar,AIC,DiffAIC,PercentGainAIC
iv30call,5857.008973920676,174.01295006848432,0.028852979190197532
iv60call,5755.647775553387,275.37414843577335,0.04565961654697979
iv90call,5787.217585119972,243.80433886918854,0.04042504602734499
iv120call,5814.760700271878,216.26122371728252,0.03585813920806288
iv150call,5807.217142252776,223.80478173638403,0.03710893187872057
iv180call,5833.9300806000065,197.09184338915384,0.032679676159888565
iv360call,5934.040789942247,96.98113404691321,0.016080381611805847
callvol,6091.845446636727,-60.82352264756628,-0.010085110519269205
putvol,6088.365851700955,-57.343927711795004,-0.009508161043769748
totalvol,6093.6950878590615,-62.673163869901146,-0.010391798381732062
calloi,6091.856050020448,-60.83412603128727,-0.010086868659739364
putoi,6093.379947852653,-62.358023863492235,-0.010339545212968839
totaloi,6092.567406993601,-61.54548300444094,-0.010204818317710954
CTVR,6008.721747552183,22.30017643697738,0.003697578406783033
CToiR,6028.415401365395,2.6065226237651586,0.00043218589761668446
ToiTVR,6032.566394621662,-1.5444706325015432,-0.00025608771647110315
CVPoi,6032.294192596558,-1.2722686073975638,-0.00021095406772390476
PCR,6031.796448821033,-0.7745248318724407,-0.00012842348139900954
SM,5848.443659604167,182.57826438499342,0.030273188638025843
SWM,6007.585060979239,23.43686300992158,0.0038860517015695904
WMEP,5843.347444267573,187.67447972158698,0.031118188938277235
MROI,6071.557837364193,-40.53591337503258,-0.006721234624234378
WMD,6024.0721582664955,6.949765722664779,0.0011523363387258131
WMG,6028.11602917229,2.9058948168703864,0.00048182461504771165
WMT,6032.5722759673945,-1.5503519782341755,-0.00025706289875476203
WMV,6008.278321007298,22.74360298186275,0.0037711026868261187
