ExoVar,AIC,DiffAIC,PercentGainAIC
iv30call,4582.266614863617,138.66777889257628,0.029372951904600774
iv60call,4504.924330855075,216.01006290111854,0.045755785800965336
iv90call,4514.188301372892,206.7460923833014,0.043793468652464085
iv120call,4536.589465326964,184.34492842922918,0.039048398696885055
iv150call,4560.9661663721945,159.96822738399896,0.03388486558838215
iv180call,4576.288751019064,144.6456427371295,0.030639197809746038
iv360call,4657.964311231359,62.97008252483465,0.013338478630018144
callvol,4716.2733089796475,4.661084776545977,0.0009873225060510536
putvol,4715.901982097158,5.032411659035461,0.0010659778847363819
totalvol,4724.365314743476,-3.4309209872826614,-0.0007267461695337948
calloi,4724.74584762361,-3.811453867416276,-0.0008073515854101305
putoi,4722.803000930446,-1.8686071742522472,-0.00039581299344545583
totaloi,4723.82945135208,-2.895057595886101,-0.0006132382605687218
CTVR,4673.2612201734255,47.67317358276796,0.010098249542679405
CToiR,4717.6445197674475,3.289873988745967,0.0006968692454394375
ToiTVR,4722.889968308384,-1.9555745521902281,-0.00041423463854457055
CVPoi,4722.297042409342,-1.362648653148426,-0.0002886396080722147
PCR,4714.971580453726,5.9628133024671115,0.0012630578620947159
SM,4704.255741773568,16.678651982625524,0.003532913315780103
SWM,4722.104106030865,-1.1697122746718378,-0.00024777134717628656
WMEP,4600.195562660228,120.7388310959659,0.025575197837032538
MROI,4722.909633793943,-1.975240037749245,-0.00041840023033610786
WMD,4693.368069507316,27.56632424887721,0.005839166984683336
WMG,4722.867869105795,-1.9334753496013946,-0.0004095535307922448
WMT,4721.94403922627,-1.0096454700769755,-0.0002138656007192794
WMV,4711.685324508764,9.249069247429361,0.0019591607245510513
