ExoVar,AIC,DiffAIC,PercentGainAIC
iv30call,8862.26738715253,300.9995645025265,0.03284849891316987
iv60call,8867.582463500336,295.6844881547204,0.03226845727781774
iv90call,8947.351193957504,215.91575769755218,0.02356318536136872
iv120call,8960.195730080632,203.07122157442427,0.022161443363575242
iv150call,8979.339598421451,183.92735323360466,0.02007224652561104
iv180call,9007.27672250562,155.99022914943635,0.01702342952272733
iv360call,9095.010055142098,68.25689651295761,0.007448969551261316
callvol,9143.172482496173,20.09446915888293,0.0021929372204149847
putvol,9157.08444172364,6.182509931415552,0.0006747058624434024
totalvol,9147.795245687525,15.471705967531307,0.0016884486776560439
calloi,9164.675043166142,-1.4080915110862406,-0.0001536669747280377
putoi,9165.212491639531,-1.9455399844755448,-0.00021231947019988807
totaloi,9164.990033904853,-1.7230822497967893,-0.00018804234983960263
CTVR,9158.252886959146,5.014064695909838,0.0005471918173249558
CToiR,9164.272528144771,-1.0055764897151676,-0.00010973995355810754
ToiTVR,9159.133178060569,4.133773594487138,0.00045112443152608387
PCR,9164.179014672623,-0.9120630175675615,-9.953469896485183e-05
SM,8995.599198487273,167.6677531677833,0.01829781387494112
SWM,9147.64887674382,15.618074911235453,0.001704422122986883
WMEP,9089.370499990797,73.89645166425908,0.008064422007361906
MROI,9165.067678656369,-1.8007270013131347,-0.00019651582899567167
WMD,9150.850123627335,12.41682802772084,0.00135506562159887
WMG,9164.453703170047,-1.1867515149915562,-0.000129511834725846
WMT,9164.317097771012,-1.0501461159565224,-0.00011460389853280948
WMV,9150.420638677158,12.846312977897469,0.0014019359084127944
