ExoVar,AIC,DiffAIC,PercentGainAIC
iv30call,2379.2051102811256,12.623265329512833,0.005277663505555698
iv60call,2361.8051348857966,30.0232407248418,0.01255242267003242
iv90call,2339.0318158768396,52.79655973379886,0.02207372413178257
iv120call,2325.5201625248756,66.30821308576287,0.027722813961864743
iv150call,2331.898987941302,59.92938766933639,0.02505588957821286
iv180call,2373.08720345191,18.741172158728205,0.007835500385324908
iv360call,2393.823565293737,-1.9951896830984879,-0.0008341692503706969
callvol,2397.7477131592677,-5.919337548629301,-0.002474817009860953
putvol,2393.5766887620566,-1.7483131514181878,-0.0007309525922702711
totalvol,2398.6642318662134,-6.835856255574981,-0.002858004497847708
calloi,2379.7963070293545,12.032068581283966,0.00503048993981943
putoi,2398.1411838412137,-6.312808230575229,-0.0026393232453242204
totaloi,2397.563846271333,-5.735470660694773,-0.002397944066212734
CTVR,2390.0356506154217,1.7927249952167585,0.0007495207488535093
CToiR,2393.522861014885,-1.694485404246734,-0.000708447738778134
ToiTVR,2399.8172124354137,-7.988836824775262,-0.003340054372728853
CVPoi,2393.7895872875715,-1.9612116769330896,-0.0008199633790331584
PCR,2393.057760683697,-1.2293850730584381,-0.0005139938490547315
SM,2390.467492412787,1.360883197851308,0.0005689719261332335
SWM,2390.41488064808,1.413494962558616,0.0005909683892757347
WMEP,2057.5015745358323,334.3268010748061,0.13977875857813243
MROI,2389.392107402487,2.436268208151432,0.001018579858402026
WMD,2391.8148251734137,0.013550437224694178,5.665304987125059e-06
WMG,2392.748881673472,-0.9205060628337378,-0.00038485456240092093
WMT,2393.446083736333,-1.6177081256946622,-0.0006763479111588256
WMV,2375.2326335442917,16.595742066346702,0.006938517092435521
